Date,Close,High,Low,Open,Volume
04-09-2013,15.41070175,15.52040644,15.3362274,15.43758784,345032800
05-09-2013,15.30501556,15.47219914,15.25464479,15.45891041,236367600
06-09-2013,15.3961792,15.43202512,15.14061693,15.4029787,359525600
09-09-2013,15.64184761,15.69592674,15.55872042,15.60569143,340687200
10-09-2013,15.28554535,15.68140503,15.12670769,15.6427766,743195600
11-09-2013,14.45334625,14.63814085,14.36372817,14.43171328,898696400
12-09-2013,14.60724068,14.69098512,14.40081144,14.47775968,404051200
13-09-2013,14.36651134,14.58066431,14.36033238,14.50371771,298835600
16-09-2013,13.90977383,14.2648415,13.82015738,14.24599269,543706800
17-09-2013,14.07046795,14.20612958,13.82881165,13.84302624,399380800
18-09-2013,14.35970974,14.41131663,14.23548188,14.31335596,456862000
19-09-2013,14.59518623,14.70427201,14.50093393,14.54574297,404541200
20-09-2013,14.44407177,14.78832285,14.40049886,14.7713274,699302800
23-09-2013,15.16193581,15.35569352,14.91348007,15.33066244,762106800
24-09-2013,15.11435127,15.31119854,15.07479698,15.29296696,364344400
25-09-2013,14.88041782,15.13103558,14.87732834,15.11743988,316957200
26-09-2013,15.02534294,15.09765363,14.95364949,15.01854509,237221600
27-09-2013,14.91811466,14.9774469,14.85538267,14.94994358,228040400
30-09-2013,14.73270512,14.88443468,14.66039274,14.74815583,260156400
01-10-2013,15.07911968,15.11558449,14.783074,14.78523763,353883600
02-10-2013,15.12856293,15.19778417,14.94902142,15.00711755,289184000
03-10-2013,14.93851662,15.21478439,14.85600828,15.15792272,322753200
04-10-2013,14.9267683,14.97528406,14.78987059,14.95241661,258868400
07-10-2013,15.07262897,15.2240499,14.99846325,15.03585556,312292400
08-10-2013,14.86219025,15.16194274,14.84982901,15.14030975,290917200
09-10-2013,15.03678322,15.07386526,14.77998485,14.97652346,301725200
10-10-2013,15.13103294,15.21570488,15.05068661,15.1829501,278602800
11-10-2013,15.22899723,15.26082616,14.99259405,15.04914544,267738800
14-10-2013,15.32881069,15.3764006,15.12207447,15.13690795,261898000
15-10-2013,15.41038513,15.51298164,15.31273476,15.37422896,320073600
16-10-2013,15.48548317,15.5293647,15.42738705,15.47559419,251101200
17-10-2013,15.59024239,15.59889525,15.44129371,15.4505638,253593200
18-10-2013,15.7259016,15.73733533,15.62763233,15.63628518,290542000
21-10-2013,16.11125565,16.20210819,15.80717606,15.81490141,398106800
22-10-2013,16.06521034,16.33035289,15.69932627,16.26731228,534063600
23-10-2013,16.22251129,16.24445289,16.03833222,16.03833222,313723200
24-10-2013,16.43727875,16.45458447,16.14494308,16.22374304,384764800
25-10-2013,16.25341034,16.47806951,16.22714314,16.41904587,337792000
28-10-2013,16.37454605,16.40915749,16.16842709,16.34858747,550440800
29-10-2013,15.9666338,16.66410091,15.90050369,16.57201222,635807200
30-10-2013,16.22065163,16.3016152,15.97714038,16.05717809,354163600
31-10-2013,16.15266609,16.30068893,16.10847593,16.22374234,275696400
01-11-2013,16.07016373,16.21756773,15.94068269,16.19346415,274890000
04-11-2013,16.27782249,16.27998612,16.03245785,16.10322383,244627600
05-11-2013,16.23764801,16.34395293,16.16193754,16.21076357,265213200
06-11-2013,16.19164658,16.31411308,16.10710112,16.29204338,223375600
07-11-2013,15.92961979,16.26220582,15.92620185,16.1499981,262620400
08-11-2013,16.18045616,16.19817334,15.93272607,15.99458099,279316800
11-11-2013,16.13352394,16.21496023,15.9892998,16.16274161,227452400
12-11-2013,16.16335678,16.28489032,16.06979755,16.09062224,204276800
13-11-2013,16.18263817,16.23299262,16.06856293,16.10088978,197220800
14-11-2013,16.4166832,16.45149505,16.22117175,16.25038941,282419200
15-11-2013,16.31815147,16.44558966,16.30261056,16.36757299,317920400
18-11-2013,16.12046623,16.38653602,16.10710157,16.31815398,244944000
19-11-2013,16.1490612,16.26810809,16.09995011,16.13289778,208938800
20-11-2013,16.00763893,16.17610905,15.98681423,16.13911926,193916800
21-11-2013,16.19848824,16.2006645,15.96630066,16.08845511,262026800
